OBJECTID,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD
2732,Forest City Washington,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Case No. 13-05,"CG/CR, CG/W-1",Final,13-05,0,0,{09E65FAF-3AF2-4B41-8D26-8DC081DA661D},Ward 6
2733,City Market at O Condo LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010. ZC Case # 07-26E, 8/30/2013.",C-3-C,Pending,07-26F,0,0,{802FB3B4-8976-4DD2-958A-AE3FEEBAB882},Ward 6
2734,1437-1451 Belmont Street N.W.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-B,Final,03-04,0,0,{6BAD4731-B429-4EE6-9896-F1F7E4C4754A},Ward 1
2735,2126 Wyoming Avenue NW,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-D,Final,03-24,0,0,{C2608E50-70EF-4FDB-915F-5B8F271B767B},Ward 2
2736,Abdo Development LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,04-22A,0,0,{940B8171-1393-4391-B6C0-76D8EEEB3C9F},Ward 6
2737,2300 Pennsylvania Avenue LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-A,Final,07-16,0,0,{2F4553A1-DDF8-4BAB-8DD6-8F65DF32CBE1},Ward 7
2738,1200-1224 R Street N.W.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-B,Final,04-13,0,0,{8E5EB309-E8E2-4E61-90B1-5BFC974DF3EE},Ward 2
2739,Petworth Holdings LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-A,Final,06-02,0,0,{12300C81-6F58-4C23-AD10-ADC8B2D81A59},Ward 4
2740,1000 Connecticut Avenue N.W.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-4,Final,06-13,0,0,{66D17001-60EA-46BE-AD88-A40F43E85B2D},Ward 2
2741,MRP Realty LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,06-14,0,0,{4107FECA-F389-4678-A36A-B36D57E5C4D9},Ward 5
2742,WB/NV Center City Holdings LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",CR,Final,06-29,0,0,{6B861899-99F7-4D53-A179-16FD80474189},Ward 2
2743,5000 Overlook Avenue S.W,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-M-3,Final,04-19A,0,0,{19D3E326-91C7-48BB-A944-2E24E1765A58},Ward 8
